Nr.;Anrede;Titel;Vorname;Nachname;Geburtsdatum;Straße;Hausnummer;Postleitzahl;Stadt;Mobil;EMail
1;Frau;;Abdelsalam;Niebling;25.01.67;Oberm Garten;128;72766;Reutlingen;0164/1379047;abdelsalam.niebling@goggle-mail.de
2;Frau;;Gerburg;Gerberding;;Rheinsbergring;19;83361;Kienberg;0172/6189547;g_55@web.de
3;Frau;;Jamshida;Kohlhepp;;Brüsseler Straße;112b;86854;Amberg;0171/7573847;j-1942@company.de
4;Frau;;Breffney;Althaus;31.12.86;Offenbergstraße;107;59846;Sundern;0174/7732594;balthaus@quickmail.de
5;Herr;;Torge;Stumpfe;16.02.18;Schäferspesch;42;83059;Kolbermoor;0166/5745136;t18@justmail.de
6;Herr;;Friedberg;Bäckström;29.08.03;Bergwerkstraße;121;21228;Harmstorf;0150/1842952;friedberg.2003@ultramail.de
7;Herr;Dr.;Dieterich;Larsen;;Schönbuchstraße;23;25599;Wewelsfleth;0179/7940415;dieterich-larsen@private.de
8;k.A.;;Mike;Protz;12.09.81;Herdegenstraße;79;56294;Münstermaifeld;0177/4773228;m_protz@kitty.de
9;Frau;Dr.;Raimunde;Puchta;;Rommelweg;111;48629;Metelen;0167/2294707;raimunde1913@inter-mail.de
10;Frau;;Irmintrud;Janow;;Bornseifen;49;76891;Erlenbach;0156/6838479;irmintrud_janow@hoster.de
11;Herr;;Ambros;Schulte;;Im Mühlengrund;157b;24797;Tackesdorf;0158/2048592;ambros.schulte@retromail.de
12;Herr;;Yannis;Lippmann;22.12.41;Alte Kölner Straße;29a;56759;Kaisersesch;0159/1800853;yannis_lippmann@mymail.de
13;Frau;;Sibel;Ablett;;Auf dem Bünder;190;38464;Groß Twülpstedt;0167/6019298;sibel_ablett@kitty.de
14;Frau;;Dorena;Schoberth;;Hahnestraße;26;79276;Reute;0158/6378172;dorena_schoberth@anymail.de
15;k.A.;;Kazimir;Marino;;Mühlenpfad;125;59174;Kamen;0178/7647164;kazimir-marino@quickmail.de
16;Herr;;Sigurkarl;Koc;;Böwingring;42;57614;Woldert;0159/7790569;sigurkarl.koc@funmail.de
17;Frau;;Stanislawa;Gaß;;Lupinenstraße;93;54411;Hermeskeil;0156/5909455;s.88@kitty.de
18;Herr;;Jabbar;Burgdorf;;Reichswaldstraße;12;47055;Duisburg;0166/3905817;jabbar-burgdorf@justmail.de
19;Frau;;Temira;Jarosch;;Eisemrother Straße;69;44803;Bochum;0151/5741880;temira_15@quickmail.de
20;Frau;;Bortola;Wentenschuch;02.10.68;Zum Osterkamp;128;63741;Aschaffenburg;0167/9877338;bortola_1968@xyz.de
21;k.A.;;Joresa;Schmiedel;;Wülfingstraße;48;14163;Steglitz-Zehlendorf;0152/4311191;joresa-schmiedel@justmail.de
